SOURCE: BuffClassesEDA — CU Boulder grade distributions (Spring 2016–Spring 2024)

--- CSCI 3104 — Algorithms ---

Spring 2019 | TRIVEDI,ASHUTOSH | avg GPA 3.19 | N=169 | A=57% B=24% C=6% DFW=23%
Spring 2019 | ZAGRODZKI,MACIEJ J | avg GPA 3.56 | N=139 | A=78% B=13% C=4% DFW=10%
Fall 2018 | BOESE, ELIZABETH SUGAR | avg GPA 2.91 | N=215 | A=47% B=25% C=16% DFW=21%
Fall 2018 | GUPTA,SHAYON | avg GPA 3.28 | N=158 | A=60% B=23% C=8% DFW=20%
Fall 2018 | NELSON,THOMAS HARRISON | avg GPA 3.41 | N=24 | A=70% B=22% C=0% DFW=16%
Spring 2018 | HOENIGMAN, RHONDA OLCOTT | avg GPA 3.05 | N=270 | A=49% B=25% C=14% DFW=16%
Spring 2018 | ZAGRODZKI,MACIEJ J | avg GPA 3.48 | N=93 | A=75% B=10% C=7% DFW=10%
Spring 2018 | ZIETZ,JASON IAN | avg GPA 3.10 | N=84 | A=56% B=21% C=7% DFW=24%
Fall 2017 | BOESE, ELIZABETH SUGAR | avg GPA 3.50 | N=191 | A=75% B=10% C=9% DFW=12%
Fall 2017 | BOESE, ELIZABETH SUGAR | avg GPA 3.42 | N=161 | A=71% B=16% C=6% DFW=12%
Spring 2017 | HOENIGMAN, RHONDA OLCOTT | avg GPA 3.16 | N=381 | A=58% B=22% C=7% DFW=21%
Spring 2017 | JACOBSON,LINDA R | avg GPA 2.68 | N=49 | A=41% B=22% C=16% DFW=30%
Fall 2016 | BOESE, ELIZABETH SUGAR | avg GPA 3.26 | N=254 | A=58% B=27% C=6% DFW=20%
Spring 2016 | HOENIGMAN, RHONDA OLCOTT | avg GPA 3.16 | N=329 | A=58% B=19% C=10% DFW=25%

--- CSCI 3155 — Principles of Programming Languages ---

Spring 2024 | WILSON,SPENCER DAVID | avg GPA 3.55 | N=272 | A=69% B=22% C=7% DFW=3%
Fall 2023 | KAKI,GOWTHAM | avg GPA 3.56 | N=130 | A=67% B=26% C=5% DFW=3%
Spring 2023 | SANKARANARAYANAN, SRIRAM | avg GPA 3.35 | N=251 | A=48% B=42% C=6% DFW=6%
Fall 2022 | CHANG, BOR-YUH EVAN | avg GPA 2.54 | N=154 | A=21% B=33% C=39% DFW=19%
Spring 2022 | KAKI,GOWTHAM | avg GPA 3.35 | N=202 | A=59% B=28% C=11% DFW=6%
Spring 2022 | KAKI,GOWTHAM | avg GPA 3.30 | N=25 | A=52% B=28% C=20% DFW=0%
Fall 2021 | NELSON,THOMAS HARRISON | avg GPA 3.83 | N=67 | A=90% B=7% C=3% DFW=1%
Fall 2021 | NELSON,THOMAS HARRISON | avg GPA 3.74 | N=177 | A=79% B=18% C=3% DFW=4%
Spring 2021 | SANKARANARAYANAN, SRIRAM | avg GPA 3.29 | N=233 | A=58% B=25% C=11% DFW=9%
Fall 2020 | SANKARANARAYANAN, SRIRAM | avg GPA 3.54 | N=77 | A=65% B=27% C=8% DFW=1%
Fall 2020 | SANKARANARAYANAN, SRIRAM | avg GPA 3.33 | N=176 | A=57% B=26% C=13% DFW=6%
Spring 2020 | SANKARANARAYANAN, SRIRAM | avg GPA 3.29 | N=230 | A=50% B=32% C=14% DFW=7%
Fall 2019 | MARTIN,JACK PAUL | avg GPA 3.57 | N=205 | A=70% B=25% C=4% DFW=3%
Spring 2019 | NELSON,THOMAS HARRISON | avg GPA 2.80 | N=10 | A=30% B=30% C=30% DFW=10%
Spring 2019 | SANKARANARAYANAN, SRIRAM | avg GPA 3.34 | N=150 | A=52% B=33% C=13% DFW=2%
Spring 2019 | WILSON,SPENCER DAVID | avg GPA 3.13 | N=41 | A=46% B=32% C=17% DFW=7%
Fall 2018 | SANKARANARAYANAN, SRIRAM | avg GPA 3.28 | N=168 | A=46% B=40% C=13% DFW=7%
Spring 2018 | NELSON,THOMAS HARRISON | avg GPA 2.64 | N=131 | A=27% B=32% C=28% DFW=18%
Fall 2017 | HAMMER,MATTHEW A | avg GPA 3.61 | N=128 | A=67% B=27% C=6% DFW=7%
Spring 2017 | NELSON,THOMAS HARRISON | avg GPA 2.20 | N=132 | A=17% B=24% C=38% DFW=32%
Fall 2016 | CHANG, BOR-YUH EVAN | avg GPA 2.52 | N=112 | A=18% B=31% C=40% DFW=24%
Spring 2016 | BAKER, JAMES EDWARD | avg GPA 3.22 | N=131 | A=28% B=67% C=4% DFW=7%
